,Unnamed: 0,Unnamed: 0.1,Business_links,Zipcode_searched,Has_reviews,Actual_Zipcode
118,119,119,https://www.yelp.com/biz/911-restoration-of-oklahoma-city-oklahoma-city?osq=plumbing,73101,No,73150
119,120,120,https://www.yelp.com/biz/daltons-plumbing-moore-2?osq=plumbing,73101,Yes,73160
120,121,121,https://www.yelp.com/biz/help-services-edmond-2?osq=plumbing,73101,Yes,73034
121,122,122,https://www.yelp.com/biz/stone-creek-plumbing-edmond?osq=plumbing,73101,Yes,73003
122,123,123,https://www.yelp.com/biz/drain-man-plumbing-oklahoma-city?osq=plumbing,73101,Yes,73112
123,124,124,https://www.yelp.com/biz/perkins-plumbing-inc-yukon?osq=plumbing,73101,No,73099
124,125,125,https://www.yelp.com/biz/town-and-country-plumbing-harrah?osq=plumbing,73101,No,73045
125,126,126,https://www.yelp.com/biz/champion-plumbing-edmond-6?osq=plumbing,73101,Yes,73034
126,127,127,https://www.yelp.com/biz/redbud-construction-yukon-3?osq=plumbing,73101,No,73099
127,128,128,https://www.yelp.com/biz/plumb-tech-midwest-city-3?osq=plumbing,73101,Yes,73110
128,129,129,https://www.yelp.com/biz/a-drains-and-video-line-inspections-yukon?osq=plumbing,73101,No,73099
129,130,130,https://www.yelp.com/biz/mckenna-heat-and-air-blanchard?osq=plumbing,73101,Yes,73010
130,131,131,https://www.yelp.com/biz/city-plumbing-services-norman?osq=plumbing,73101,Yes,73069
131,132,132,https://www.yelp.com/biz/true-tech-home-services-oklahoma-city-3?osq=plumbing,73101,Yes,73110
132,133,133,https://www.yelp.com/biz/hodgens-construction-norman-3?osq=plumbing,73101,No,73069
133,134,134,https://www.yelp.com/biz/ps911-services-oklahoma-city-2?osq=plumbing,73101,Yes,73159
134,135,135,https://www.yelp.com/biz/aqua-plumbing-services-mcloud?osq=plumbing,73101,No,74851
135,136,136,https://www.yelp.com/biz/excel-comfort-services-edmond?osq=plumbing,73101,Yes,73034
136,137,137,https://www.yelp.com/biz/affordable-leak-detection-wellston?osq=plumbing,73101,Yes,74881
137,138,138,https://www.yelp.com/biz/bl3-plumbing-and-drain-cleaning-moore?osq=plumbing,73101,Yes,73160
138,139,139,https://www.yelp.com/biz/a-better-plumbing-norman?osq=plumbing,73101,Yes,73072
139,140,140,https://www.yelp.com/biz/best-choice-restoration-oklahoma-city?osq=plumbing,73101,Yes,73127
140,141,141,https://www.yelp.com/biz/elite-irrigation-and-drainage-systems-lawton?osq=plumbing,73101,No,73505
141,142,142,https://www.yelp.com/biz/affordable-plumbing-oklahoma-city?osq=plumbing,73101,Yes,73120
142,143,143,https://www.yelp.com/biz/davids-plumbing-oklahoma-city?osq=plumbing,73101,Yes,73159
143,144,144,https://www.yelp.com/biz/hvac-solutions-edmond-3?osq=plumbing,73101,Yes,73003
144,145,145,https://www.yelp.com/biz/fixtpro-plumbing-group-oklahoma-city?osq=plumbing,73101,Yes,73104
145,146,146,https://www.yelp.com/biz/hill-and-company-service-oklahoma-city-3?osq=plumbing,73101,Yes,73127
146,147,147,https://www.yelp.com/biz/plumb-crazy-plumbing-oklahoma-city?osq=plumbing,73101,Yes,73114
147,148,148,https://www.yelp.com/biz/iplumb-oklahoma-city?osq=plumbing,73101,Yes,73119
148,149,149,https://www.yelp.com/biz/oklahoma-slab-leak-pro-oklahoma-city?osq=plumbing,73101,Yes,73149
149,150,150,https://www.yelp.com/biz/hermans-plumbing-midwest-city?osq=plumbing,73101,Yes,73130
150,151,151,https://www.yelp.com/biz/d-and-d-drain-norman?osq=plumbing,73101,Yes,73071
151,152,152,https://www.yelp.com/biz/coe-plumbing-oklahoma-city?osq=plumbing,73101,Yes,73117
152,153,153,https://www.yelp.com/biz/punctual-plumbing-oklahoma-city?osq=plumbing,73101,Yes,73102
153,154,154,https://www.yelp.com/biz/drabek-and-hill-oklahoma-city?osq=plumbing,73101,Yes,73112
154,155,155,https://www.yelp.com/biz/academy-disc-plumbing-and-repair-oklahoma-city?osq=plumbing,73101,Yes,73102
155,156,156,https://www.yelp.com/biz/pro-rooter-oklahoma-city?osq=plumbing,73101,No,73102
156,157,157,https://www.yelp.com/biz/mr-rooter-plumbing-of-oklahoma-city-oklahoma-city-5?osq=plumbing,73101,Yes,73127
157,158,158,https://www.yelp.com/biz/stone-creek-plumbing-serv-oklahoma-city?osq=plumbing,73101,No,73178
158,159,159,https://www.yelp.com/biz/drain-man-plumbing-oklahoma-city-2?osq=plumbing,73101,No,73102
159,160,160,https://www.yelp.com/biz/andys-plumbing-oklahoma-city?osq=plumbing,73101,Yes,73170
160,161,161,https://www.yelp.com/biz/brandons-plumbing-norman-4?osq=plumbing,73101,Yes,73160
161,190,28,https://www.yelp.com/biz/legacy-4-plumbing-norman-7?osq=plumbing,73102,Yes,73072
162,191,29,https://www.yelp.com/biz/grooms-sewer-and-plumbing-service-oklahoma-city?osq=plumbing,73102,Yes,73107
163,192,30,https://www.yelp.com/biz/weir-family-plumbing-oklahoma-city?osq=plumbing,73102,Yes,73112
164,193,31,https://www.yelp.com/biz/bst-plumbing-del-city?osq=plumbing,73102,No,73115
165,194,32,https://www.yelp.com/biz/four-seasons-control-edmond-2?osq=plumbing,73102,No,73003
166,195,33,https://www.yelp.com/biz/ab-discount-plumbing-oklahoma-city-3?osq=plumbing,73102,No,73107
167,196,34,https://www.yelp.com/biz/t-a-miller-construction-and-plumbing-oklahoma-city?osq=plumbing,73102,No,73105
168,197,35,https://www.yelp.com/biz/plumbtastic-solutions-oklahoma-city?osq=plumbing,73102,Yes,73013
169,200,38,https://www.yelp.com/biz/chasetheplumber-oklahoma-city-3?osq=plumbing,73102,Yes,73112
170,201,39,https://www.yelp.com/biz/nowell-and-sons-plumbing-oklahoma-city-4?osq=plumbing,73102,No,73112
171,319,25,https://www.yelp.com/biz/bowler-and-sons-plumbing-oklahoma-city?osq=plumbing,73103,No,73105
172,332,38,https://www.yelp.com/biz/clays-plumbing-and-heating-oklahoma-city?osq=plumbing,73103,No,73111
173,334,40,https://www.yelp.com/biz/homeland-plumbing-moore?osq=plumbing,73103,Yes,73160
174,340,46,https://www.yelp.com/biz/okc-winnelson-company-oklahoma-city-2?osq=plumbing,73103,No,73106
175,343,49,https://www.yelp.com/biz/bluefrog-plumbing-drain-of-oklahoma-city-oklahoma-city-2?osq=plumbing,73103,No,73106
176,344,50,https://www.yelp.com/biz/skyline-plumbing-and-construction-oklahoma-city-3?osq=plumbing,73103,No,73118
177,350,56,https://www.yelp.com/biz/repipe-specialists-oklahoma-city?osq=plumbing,73103,Yes,73104
178,363,69,https://www.yelp.com/biz/reliable-blle-isle-plmbng-htng-and-ar-cndtnng-co-oklahoma-city?osq=plumbing,73103,No,73118
179,366,72,https://www.yelp.com/biz/belle-isle-combustion-service-oklahoma-city?osq=plumbing,73103,No,73118
180,371,77,https://www.yelp.com/biz/trade-mechanical-contractors-oklahoma-city?osq=plumbing,73103,No,73105
181,372,78,https://www.yelp.com/biz/harrison-orr-air-conditioning-oklahoma-city?osq=plumbing,73103,No,73105
182,373,79,https://www.yelp.com/biz/avant-plumbing-and-heating-oklahoma-city?osq=plumbing,73103,Yes,73112
183,426,132,https://www.yelp.com/biz/public-insurance-claim-adjuster-oklahoma-city?osq=plumbing,73103,No,73112
184,456,3,https://www.yelp.com/biz/jet-plumbing-service-oklahoma-city-3?osq=plumbing,73104,Yes,73120
185,461,8,https://www.yelp.com/biz/stans-plumbing-bethany?osq=plumbing,73104,No,73008
186,464,11,https://www.yelp.com/biz/red-dirt-plumbing-harrah?osq=plumbing,73104,Yes,73045
187,467,14,https://www.yelp.com/biz/red-plains-plumbing-oklahoma-city-2?osq=plumbing,73104,Yes,73141
188,468,15,https://www.yelp.com/biz/bobs-plumbing-norman?osq=plumbing,73104,Yes,73071
189,477,24,https://www.yelp.com/biz/oasis-plumbing-and-mechanical-oklahoma-city?osq=plumbing,73104,No,73114
190,485,32,https://www.yelp.com/biz/fox-plumbing-company-oklahoma-city?osq=plumbing,73104,No,73165
191,499,46,https://www.yelp.com/biz/heartland-plumbing-oklahoma-city?osq=plumbing,73104,No,73107
192,524,71,https://www.yelp.com/biz/friendly-plumbing-oklahoma-city?osq=plumbing,73104,No,73129
193,530,77,https://www.yelp.com/biz/plumbing-masters-oklahoma-city?osq=plumbing,73104,No,73109
194,542,89,https://www.yelp.com/biz/hope-plumbing-oklahoma-city?osq=plumbing,73104,Yes,73106
195,550,97,https://www.yelp.com/biz/aces-three-plumbing-and-heating-oklahoma-city?osq=plumbing,73104,Yes,73149
196,621,10,https://www.yelp.com/biz/truels-problem-solvers-oklahoma-city?osq=plumbing,73105,Yes,73114
197,625,14,https://www.yelp.com/biz/randy-simons-plumbing-oklahoma-city?osq=plumbing,73105,Yes,73131
198,627,16,https://www.yelp.com/biz/ever-ready-plumbing-heating-and-air-conditioning-oklahoma-city-3?osq=plumbing,73105,Yes,73116
